,HSCode,Commodity,value,country,year
0,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,0.22,AFGHANISTAN TIS,2018
1,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,91.22,AFGHANISTAN TIS,2018
2,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.02,AFGHANISTAN TIS,2018
3,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.59,AFGHANISTAN TIS,2018
4,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",1.08,AFGHANISTAN TIS,2018
5,29,ORGANIC CHEMICALS,7.15,AFGHANISTAN TIS,2018
6,30,PHARMACEUTICAL PRODUCTS,80.27,AFGHANISTAN TIS,2018
7,31,FERTILISERS.,0.0,AFGHANISTAN TIS,2018
8,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",0.21,AFGHANISTAN TIS,2018
9,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",5.63,AFGHANISTAN TIS,2018
10,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.32,AFGHANISTAN TIS,2018
11,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.04,AFGHANISTAN TIS,2018
12,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.01,AFGHANISTAN TIS,2018
13,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.0,AFGHANISTAN TIS,2018
14,38,MISCELLANEOUS CHEMICAL PRODUCTS.,1.31,AFGHANISTAN TIS,2018
15,39,PLASTIC AND ARTICLES THEREOF.,2.35,AFGHANISTAN TIS,2018
16,40,RUBBER AND ARTICLES THEREOF.,8.32,AFGHANISTAN TIS,2018
17,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,,AFGHANISTAN TIS,2018
18,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.19,AFGHANISTAN TIS,2018
19,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.01,AFGHANISTAN TIS,2018
